,developer,score0,img_link,date,pos,console,link,publisher,score1,score2,name,label
10210,Bigben Interactive,N/A,http://www.vgchartz.com//games/boxart/full_marvel-superheroes-3d-grandmasters-challenge_548PALFront.jpg,26th Nov 10,17338,Wii,http://www.vgchartz.com//games/game.php?id=48635&region=All,Neko Entertainment,N/A,N/A,Marvel Superheroes 3D: Grandmaster's Challenge-:-Wii,0.02
10211,Konami,N/A,http://www.vgchartz.com//games/boxart/full_4579846JapanFrontccc.jpg,25th Nov 94,8620,SNES,http://www.vgchartz.com//games/game.php?id=3414&region=All,Konami,N/A,N/A,Gokujou Parodius-:-SNES,0.18
10212,Diamond Head,N/A,http://www.vgchartz.com//games/boxart/full_2800138JapanFrontccc.jpg,23rd Jan 03,6940,GBA,http://www.vgchartz.com//games/game.php?id=4097&region=All,Konami,N/A,N/A,Power Pro Kun Pocket 5-:-GBA,0.26
10213,Camelot Software Planning,N/A,http://www.vgchartz.com//games/boxart/3474067ccc.jpg,15th Jul 08,7404,Wii,http://www.vgchartz.com//games/game.php?id=24904&region=All,Capcom,N/A,N/A,We Love Golf!-:-Wii,0.24
10214,EA Canada,N/A,http://www.vgchartz.com//games/boxart/full_6071008AmericaFrontccc.jpg,25th Sep 06,13731,XB,http://www.vgchartz.com//games/game.php?id=1528&region=All,EA Sports,6.4,N/A,NBA Live 07-:-XB,0.06
10215,Bethesda Game Studios,8.6,http://www.vgchartz.com//games/boxart/full_6847566AmericaFrontccc.jpg,28th Oct 08,242,X360,http://www.vgchartz.com//games/game.php?id=6992&region=All,Bethesda Softworks,9.0,8.2,Fallout 3-:-X360,4.96
10216,Art,N/A,http://www.vgchartz.com//games/boxart/full_6970173AmericaFrontccc.jpg,24th Oct 06,11285,DS,http://www.vgchartz.com//games/game.php?id=5117&region=All,D3 Publisher,N/A,N/A,Flushed Away-:-DS,0.1
10217,Capcom,N/A,http://www.vgchartz.com//games/boxart/full_1579426AmericaFrontccc.jpg,01st Nov 86,1939,NES,http://www.vgchartz.com//games/game.php?id=6214&region=All,Capcom,N/A,N/A,Commando-:-NES,1.14
10218,Bongfish GmbH,N/A,http://www.vgchartz.com//games/boxart/full_stoked-big-air-edition_29PALFront.jpg,11th Mar 11,19761,PC,http://www.vgchartz.com//games/game.php?id=50410&region=All,Namco Bandai,N/A,N/A,Stoked: Big Air Edition-:-PC,0.01
10219,EA Tiburon,N/A,http://www.vgchartz.com//games/boxart/full_25465AmericaFrontccc.jpg,26th Mar 13,5293,PS3,http://www.vgchartz.com//games/game.php?id=71808&region=All,EA Sports,N/A,N/A,Tiger Woods PGA Tour 14-:-PS3,0.39
10220,Black Lantern Studios,N/A,http://www.vgchartz.com//games/boxart/3239083ccc.gif,05th Nov 07,9309,DS,http://www.vgchartz.com//games/game.php?id=12598&region=All,2K Play,N/A,N/A,"Go, Diego, Go! Safari Rescue-:-DS",0.15
10221,Shiny Entertainment,N/A,http://www.vgchartz.com//games/boxart/full_1577541AmericaFrontccc.jpg,04th Dec 07,5414,PSP,http://www.vgchartz.com//games/game.php?id=13185&region=All,Sega,2.8,N/A,The Golden Compass-:-PSP,0.37
10222,TimeGate Studios,N/A,http://www.vgchartz.com//games/boxart/full_975103AmericaFrontccc.jpg,01st Sep 09,6847,X360,http://www.vgchartz.com//games/game.php?id=31789&region=All,SouthPeak Interactive,7.1,N/A,Section 8-:-X360,0.27
10223,Sega,N/A,http://www.vgchartz.com//games/boxart/full_3513275AmericaFrontccc.jpg,13th Oct 09,426,DS,http://www.vgchartz.com//games/game.php?id=31660&region=All,Sega,7.6,N/A,Mario & Sonic at the Olympic Winter Games-:-DS,3.47
10224,Mascot Entertainment,N/A,http://www.vgchartz.com//games/boxart/full_24030AmericaFrontccc.gif,15th Sep 08,18897,PC,http://www.vgchartz.com//games/game.php?id=35490&region=All,Strategy First,N/A,N/A,BC Kings-:-PC,0.01
